Given Name,Family Name,Project
Simon,Fauvel,Exhibitor,Engineering Good
Grace,Tan,Exhibitor,Google
Alissa,Imran,Exhibitor,
Sheryn,Chan,Exhibitor,Google
Inam,Hussain,Exhibitor,Google
Markku,Lepisto,Exhibitor,Google
Dambo,Ren,Exhibitor,Google
Bharathi,S,Exhibitor,
Rupa,Bharathio,Exhibitor,
Stepan,Goncharov,Exhibitor,
Tim,Synan,Exhibitor,Google
Tim,Sell,Exhibitor,Google
Louis,Genest,Exhibitor,Google
Paiboon,Wongsasutthikul,Exhibitor,Google
Edison,Qi,Exhibitor,Google
Danny,Larsson,Exhibitor,Google
Elizabeth,Lee,Exhibitor,Google
Mark,Lim,Exhibitor,Google
Cara,Kwon,Exhibitor,Google
Xing Xiu,Sim,Exhibitor,TheMasterPlan
Wei Jie Hagios,Lim,Exhibitor,TheMasterPlan
Hui Hua Jasmine,Ho,Exhibitor,TheMasterPlan
Cai Yun Belinda,Liew,Exhibitor,TheMasterPlan
Loong Jin,Chow,Exhibitor,
Adrian,Ke,Exhibitor,
Paul,Lorett B. Amazona,Exhibitor,
Nashin Mahtani,,Exhibitor,
Mahardika Fadmastuti,,Exhibitor,
Sindhu Chengad,Exhibitor,,Microsoft
Jason McDermott,Exhibitor,,Google
Alissa,Imran,Exhibitor,
Sheryn,Chan,Exhibitor,
Le Zhang,Exhibitor,
Victor,Chang Shee Wei,Exhibitor,
Yew Keong,Koo,Exhibitor,
Theeraphol,Wattanavekin,Exhibitor,
Sikieng,Sok,Exhibitor,
