Ei-Leen ,Tan,Organiser,Science Centre, Singapore
Kiruthika ,Ramanathan,Organiser,Science Centre, Singapore
Kelly,Yang,Organiser,Science Centre, Singapore
Anne,Dhanaraj,Organiser,Science Centre, Singapore
Tit Meng ,Lim ,Organiser,Science Centre, Singapore
Hong Phuc ,Dang,Organiser,@hpdang,FOSSASIA
Justin ,Lee,Organiser,@triplez82,FOSSASIA
Mario ,Behling,Organiser,@mariobehling,FOSSASIA
Roland,Turner,Organiser,@rolandturner,FOSSASIA
Daniel J,Blueman,Organiser,@fossasia,FOSSASIA
Kiwi,Teng,Organiser,@fossasia,FOSSASIA
Roger,Lau,Organiser,@fossasia,FOSSASIA
Nayana,Adassuriya,Organiser,@fossasia,FOSSASIA
Gi ,Soong Chee,Organiser,@gisoongchee,FOSSASIA
Zakia,Zainol,Organiser,@fossasia,FOSSASIA
Eden,Dang,Organiser,@dangphuchau,FOSSASIA
Thao,Mai,Organiser,@fossasia,FOSSASIA
Thoai,Tran,Organiser,@fossasia,FOSSASIA
Gabriel,Lee,Organiser,@Gabriel20961862,FOSSASIA
Harish,Pillay,Organiser,@harishpillay,FOSSASIA
Valentine ,Chua,Organiser,@ValentineChua,FOSSASIA
