Aayush ,Arora,Speaker,@angularboy,Open Event
Alessandro,Volpato,Speaker,,Biotinkerer
Alex,Cureton-Griffiths,Speaker,@opensourceville,Open Source Village
Alexander,Bezzubov,Speaker,@bzz,Apache SF
Amit,Bhattacharya,Speaker,,Oracle India
Ananya,Maiti,Speaker,@MaitiAnanyo,PublicLab
Andrew,Lee,Speaker,,Collabora
Anu,Mittal,Speaker,@anu22mittal,KDE
Anuvrat,Rao,Speaker,,Google
Anwesha ,Das,Speaker,@anweshasrkr,Python SF
Arnav,Gupta,Speaker,@championswimmer,Coding Blocks
Atsushi,Nakatsugawa,Speaker,@htmlhifive,MOONGIFT
Avi,Aryan,Speaker,@aviaryan123,IIIT Vadodara
Bandan,Das,Speaker,,Red Hat 
Ben,Sadeghi,Speaker,@BenSadeghi,Microsoft
Benet,Leong,Speaker,,Peek.io
Blair,Layton,Speaker,,Amazon Web Service
bunnie,huang,Speaker,@chibitronics,Chibitronics PTE LTD
Carol,Chen,Speaker,@cybette,Red Hat
Carsten,Haitzler,Speaker,,Samsung Electronics
Cendekia,Putra,Speaker,@cendekiapp,PT AJ Sequis Life
Cheng-Kuan,Ou,Speaker,National, Cheng Kung University
Christian,Couder,Speaker,@christiancouder,GitLab
Christina,Geros,Speaker,@clgeros,PetaBencana.id
Christopher,Lek,Speaker,,The honeynet Project
Colin,Charles,Speaker,@bytebot,Percona
Damini Satya,Kammakomati,Speaker,@Daminisatya,"Kony, Inc."
Daniel,Blueman,Speaker,,FOSSASIA
Daniel,Korn,Speaker,,Red Hat 
Darin,Lobo,Speaker,,Prosthetic Arm Project
Dietrich,Ayala,Speaker,@dietrich,Mozilla
Diky Arga,Anggara,Speaker,@dikyarga,Dinus Open Source Community
Ecaterina,Moraru,Speaker,@evalica,XWiki.org
Edwin,Mohammad,Speaker,@fossasia,openSUSE
Elda,Webb,Speaker,,TheCuriousDesign.Network
Emin,Ak?ehirli,Speaker,@EminAksehirli,DataSpark
Estu,Fardani,Speaker,@tuanpembual,BlankOn Project
Evgeny,Potemkin,Speaker,,Oracle/MySQL
Felix,Dahmen,Speaker,,
Fengling,Qin,Speaker,@qinfengling,Canaan
Ferdian,Thung,Speaker,,Singapore Management University
Frank ,Karlitschek,Speaker,@fkarlitschek,NextCloud
Franklin,Weng,Speaker,,Software Liberty Association Taiwan
Gary Evans,William,Speaker,,Fujitsu Australia
Gary,Lin,Speaker,,SUSE
Gabriel,Lee,Speaker,@Gabriel20961862,Dunman High Shcool
