Given Name,Family Name,Project
Volker Grassmuck,Fireside,,
Mario Parade,Wissenschaftsladen,Potsdam (FABLAB),machbar-potsdam.de
Sebastian Rauer,Technologiestiftung,Berlin,
Robert Schäfer,Rundfunk Mitbestimmen,@RundfunkMB,github.com/roschaefer
Heiko Tietzke,,,
Jan Peuckert,Institut für,ökologische,Wirtschaftsforschung
Conny Kawohl,USEEDS°,@ckawohl,github.com/supernoir
Ashant Chalasani,,,
Stephan Druskat,Dept. of,German Studies,sdruskat.net
Andrea Margitics,AM Consulting,andreamargitics.eu,
Jos Poortvliet,Nextcloud,,
Christophe Vaillant,Berliner,Lastenrad Netzwerk,werkstatt-lastenrad.de
Alexander Loibl,IBM,,
Kerstin Schmidt,Forschungsprojekt,OPEN!,,TU Berlin
Christopher Bohlens,FragDenStaat.de - Open,Knowledge,Foundation Germany
Jonathan Sieber,strfry.org,,
Jan-Christoph,Borchardt,Open Source Design,
Elio Qoshi,OpenLabs,,
Pranav Jain,,,
Frank Riedel,frank-riedel.de,@riedelwerk,
Alvin Luis,Omnia Instruments, HKCOTA,
Helene Hahn,Datenschule,datenschule.de,@datenschule
Iris Wessolowski,Science Podcaster,,
Jan Renz,janrenz.de,github.com/jprberlin,
Jérémy Bonvoisin,TU Berlin,,
Mario Behling,SUSI AI,,
Ulrike Sliwinski,FSFE,,
Thomas Tursics,Open Data,,
Roman Gunold,Fabulandlabs,,
Wan Leung Wong,Hong Kong,Linux User Group,wanleung.com
Jan Dittrich,,,
Paula Pongratz,Postapokalyptischer,Schmuck,
Mirela Alistar,Hasso,Plattner Institute,
Other,,,
Tobias Mader,Volllast GmbH,volllast.com,Geschäftsführer
Harald Maaßen,Linux Professional,Institute e.V.,
Fabian Lüpke,hpimakerklub.github.io,,
Ashant Chalasani,Simplify-ERP,,
Cowerk Projekt (IÖW),,,
Jenz Steiner,Podcaster Pi Radio,piradio.de,
Oliver Sauter,Worldbrain.io,worldbrain.io,
Erich Benesch,Projekthaus Mediatrike,projekthaus-potsdam.de,
Rüdiger Trojok,Biohacking,,
Paul Wege,Machwerk Fablab,@steinsfreiherr,
Lastenrad-Werkstatt,,,
Isabelle Dechamps,be-able,be-able.info,@be_able_Berlin
Ansgar Schmidt,IBM,,
Aida Rosenthal,LPI,,
Jan Suhr,Nitrokey,nitrokey.com,
Konrad Willi Döring,Brainduino/Neurofox,neurofox.com,
Björn Huwe,Wissenschaftsladen,Potsdam,
other,,,
Nicco Kunzmann,Coderdojo,,
Helena Kos,wire,wire.com,@wire
Jens Köhler,Urania Planetarium,- Astroclub,urania-planetarium.de
Michael Christen,SUSI AI,susi.ai,@0rb1t3r
Alessandro Volpato,,,
Kirstin Heidler,,,
other,,,
Saptak Sengupta,,,
Mathias Wunderlich,Makerspace Freie,Schule Wülfrath,
Andre Rebentisch,OpenStandards,Deutschland,
Nicco Kunzmann,,,
Anamika,LeastAuthority.com,leastauthority.com,
Héctor Orón Martínez,Collabora,,
Erik Albers,Free Software,Foundation Europe,@3albers
Lars Zimmermann,Circular Economy,,
Srijan Agarwal,WikiToLearn,srijanagarwal.me,@srijancse
